match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1375501,2025-09-09 23:30:00,Japan,United States,1,0,0,3,2,2,2,Bryan López,0
1375499,2025-09-07 02:00:00,Mexico,Japan,1,3,1,18,8,1,2,"Rubiel Vazquez, USA",1
1375499,2025-09-07 02:00:00,Japan,Mexico,3,1,1,20,9,2,1,"Rubiel Vazquez, USA",0
1489401,2026-06-23 00:00:00,Norway,Senegal,5,4,0,13,13,7,4,"Wilton Pereira Sampaio, Brazil",1
1489401,2026-06-23 00:00:00,Senegal,Norway,4,5,0,5,16,4,7,"Wilton Pereira Sampaio, Brazil",0
1503008,2026-05-31 19:30:00,United States,Senegal,3,7,1,21,13,3,3,"Nick Walsh, Scotland",1
1503008,2026-05-31 19:30:00,Senegal,United States,7,3,0,9,7,3,3,"Nick Walsh, Scotland",0
1527861,2026-03-28 16:00:00,Senegal,Peru,7,6,1,12,12,6,2,,1
1527861,2026-03-28 16:00:00,Peru,Senegal,6,7,1,7,7,2,6,,0
1508003,2026-01-18 19:00:00,Senegal,Morocco,8,10,5,25,14,7,3,"Ndala Ngambo, DR Congo",1
1508003,2026-01-18 19:00:00,Morocco,Senegal,10,8,2,17,20,3,7,"Ndala Ngambo, DR Congo",0
1505616,2026-01-14 17:00:00,Senegal,Egypt,6,1,2,10,12,4,1,"Pierre Ghislain Atcho, Gabon",1
1505616,2026-01-14 17:00:00,Egypt,Senegal,1,6,1,11,3,1,4,"Pierre Ghislain Atcho, Gabon",0
1502450,2026-01-09 16:00:00,Mali,Senegal,5,7,4,8,8,2,8,"Abongile Tom, South Africa",1
1502450,2026-01-09 16:00:00,Senegal,Mali,7,5,5,14,19,8,2,"Abongile Tom, South Africa",0
1501834,2026-01-03 16:00:00,Senegal,Sudan,7,4,2,22,14,9,3,"Beida Dahane, Mauritania",1
1501834,2026-01-03 16:00:00,Sudan,Senegal,4,7,2,17,9,3,9,"Beida Dahane, Mauritania",0
1347269,2025-12-30 19:00:00,Benin,Senegal,4,4,4,20,6,4,6,"Samuel Uwikunda, Rwanda",1
1347269,2025-12-30 19:00:00,Senegal,Benin,4,4,2,19,10,6,4,"Samuel Uwikunda, Rwanda",0
1347257,2025-12-27 15:00:00,Senegal,DR Congo,5,2,1,18,11,3,3,"Lahlou Benbraham, Algeria",1
1347257,2025-12-27 15:00:00,DR Congo,Senegal,2,5,0,12,7,3,3,"Lahlou Benbraham, Algeria",0
1539005,2026-06-18 19:00:00,Switzerland,Bosnia and Herzegovina,7,3,1,7,13,7,3,"Joao Pedro Pinheiro, Portugal",1
1539005,2026-06-18 19:00:00,Bosnia and Herzegovina,Switzerland,3,7,3,18,5,3,7,"Joao Pedro Pinheiro, Portugal",0
